iter	Passed	Remaining
409	39451	56771
410	39564	56698
411	39684	56637
412	39781	56541
413	39877	56445
414	39936	56296
415	39997	56150
416	40043	55983
417	40137	55885
418	40258	55823
419	40376	55758
420	40501	55701
421	40692	55734
422	40850	55722
423	41029	55738
424	41080	55579
425	41116	55401
426	41154	55226
427	41198	55059
428	41242	54893
429	41282	54723
430	41322	54553
431	41357	54377
432	41396	54207
433	41423	54022
434	41458	53847
435	41487	53666
436	41510	53479
437	41530	53288
438	41559	53109
439	41584	52926
440	41610	52744
441	41645	52574
442	41735	52475
443	41840	52394
444	41964	52338
445	42106	52302
446	42257	52277
447	42398	52241
448	42554	52222
449	42726	52220
450	42869	52184
451	42980	52108
452	43189	52151
453	43304	52079
454	43409	51996
455	43484	51876
456	43523	51713
457	43562	51551
458	43599	51388
459	43631	51219
460	43668	51057
461	43702	50891
462	43738	50729
463	43777	50570
464	43810	50405
465	43844	50242
466	43874	50075
467	43897	49900
468	43922	49728
469	43958	49570
470	43997	49415
471	44128	49363
472	44237	49287
473	44295	49154
474	44361	49031
475	44553	49045
476	44658	48965
477	44774	48896
478	44896	48833
479	45029	48781
480	45055	48615
481	45085	48452
482	45112	48287
483	45135	48119
484	45157	47950
485	45178	47781
486	45220	47634
487	45274	47501
488	45332	47371
489	45405	47259
490	45584	47256
491	45733	47220
492	45870	47173
493	45968	47084
494	46043	46973
495	46163	46908
496	46286	46845
497	46387	46759
498	46474	46660
499	46623	46623
500	46739	46552
501	46845	46472
502	46942	46382
503	47057	46310
504	47207	46272
505	47300	46178
506	47402	46093
507	47523	46027
508	47650	45965
509	47754	45882
510	47869	45808
511	47988	45739
512	48094	45656
513	48127	45505
514	48158	45353
515	48201	45212
516	48272	45098
517	48360	44999
518	48472	44923
519	48580	44843
520	48701	44775
521	48794	44681
522	48894	44593
523	48989	44501
524	49116	44438
525	49211	44346
526	49326	44271
527	49380	44143
528	49428	44009
529	49472	43871
530	49519	43737
531	49578	43613
532	49624	43480
533	49668	43343
534	49720	43214
535	49771	43085
536	49826	42960
537	49870	42825
538	49910	42687
539	49955	42554
540	49995	42417
541	50039	42284
542	50084	42152
543	50117	42010
544	50153	41871
545	50200	41741
546	50240	41606
547	50284	41475
548	50329	41345
549	50360	41203
550	50390	41062
551	50444	40940
552	50560	40869
