iter	Logloss
0	0.5748804935
1	0.4750725749
2	0.3996951135
3	0.340288345
4	0.2894216337
5	0.2493250114
66	0.216561365177	0.190296195488	0.168334730199	0.1496899056110	0.1368978696111	0.1259622235112	0.115953364713	0.1080073763
14	0.1009576897
15	0.0957629694
16	0.09136201664
17	0.08723602638
18	0.08324457338
19	0.08072913787
20	0.0784191935
21	0.07635371498
22	0.07430485071
23	0.0726454842
24	0.07123618046
25	0.06977793517
26	0.06881814506
27	0.06787468192
28	0.06679915277
29	0.06577796455
30	0.06519151492
31	0.06459173814
32	0.06393824516
33	0.06352955429
34	0.06312629555
35	0.06280010114
36	0.06245302353
37	0.0620735704
38	0.06181035025
39	0.0614392949
40	0.0611813913
41	0.06078999396
42	0.0605160462
43	0.06030587068
44	0.06003232469
45	0.05974283109
46	0.05955886766
47	0.05930745788
48	0.05911510155
49	0.05883573036
50	0.05867360518
51	0.05856208095
52	0.05848332559
53	0.05837154384
54	0.05822350504
55	0.05814312345
56	0.05803164952
57	0.05784663117
58	0.05767702215
59	0.05746192352
60	0.05740353484
61	0.05735065279
62	0.05726916854
6363	0.05715499146464	0.05712338275
65	0.05704812631
66	0.05697264087
67	0.05691203122
68	0.05678397665
69	0.05676517078
70	0.05666363384
71	0.05653601799
72	0.05652143959
73	0.05642046043
74	0.05635577565
75	0.05633354657
76	0.05632066498
7777	0.05571031147
78	0.05561164458
79	0.05552005859
80	0.0554313292
81	0.05531046068
82	0.05522681609
83	0.05517713456
84	0.05513006716
85	0.05506489967
86	0.0550016899
87	0.05496176962
88	0.05488025011
89	0.05481145861
90	0.0547908749
91	0.05472912252
92	0.05465756789393	0.054631080094	0.05486816173
95	0.05477964588
96	0.05471201653
97	0.05462331091
98	0.05457495803
99	0.05451661607
100	0.05449461599
101	0.05445287121
102	0.05437884971
103	0.05434625479
104	0.05423957893
105	0.05416017324
106	0.0540832529
107	0.05400618676
108	0.05395278631
109	0.05387016521
110	0.05382309891
111	0.05375614985
112	0.05367196068
113	0.05359506758
114	0.05350553916
115	0.05339971704
116	0.05336503278
117	0.05325362982
118	0.05318206772
119	0.05312638612
120	0.05307323854
121	0.05300979627
122	0.05297587239
123	0.05291307138
124	0.05288064259
125	0.05284060966
126	0.05278909301
127	0.05272235364
128	0.05266974951
129	0.0526387484
130	0.05259105049
131	0.05251795709
132	0.05247261496133133	0.051866155134134	0.051827510135	0.05240218196
1136	0.052331336381137	0.052308010391138	0.052237429941139	0.052218659861140	0.052189214491141	0.052125438171142	0.052092526411143	0.052039782551144	0.052001046921145	0.051952996521146	0.051890436391147	0.05183377576
148	0.05179972781
149	0.05175472186
150	0.05169078314
151	0.05164329838
152	0.0515960093
153	0.05157377945
154	0.05152470182
155	0.05147308946
156	0.05141388825
157	0.05132954211
158	0.05130517509
159	0.05126926254
